小区,状态,单价,总价,地址,房型,,
云汉富颐苑,在售,28000,120(万/套),"浦东/泥城镇/云汉路1288弄		",,,
禹洲雍锦府,在售,31936,285-394(万/套),"奉贤/奉贤金汇/金碧路1388弄		",户型：3室/4室建面 89-123㎡,,
悦园商厦,在售,170000,160(万/套),"黄浦/豫园/丽水路1号		",,,
海玥瑄邸,在售,35000,303-450(万/套),"浦东/惠南/项文路333弄		",户型：3室/4室建面 81-140㎡,,
皇廷御府,在售,57000,365-525(万/套),"浦东/唐镇/银樽路58弄26号		",户型：1室/2室建面 63-92㎡,,
锦汇华庭,在售,30000,270-363(万/套),"金山/金山/众安街1088弄		",户型：2室/3室建面 90-121㎡,,
朱泾名园,在售,29000,316-403(万/套),"金山/金山/公园路129弄		",户型：3室/4室建面 109-139㎡,,
碧桂园凤凰城,在售,26000,230-310(万/套),"金山/金山/隆安东路138弄6-8号		",户型：3室/4室建面 93-231㎡,,
海玥瀜庭,在售,20800,190-255(万/套),"金山/金山/枫兰路888弄		",户型：3室建面 90-121㎡,,
米拉公寓,在售,33000,180(万/套),"嘉定/江桥/嘉怡路296号		",,,
三弦星街口,在售,50000,280(万/套),"闵行/闵浦/昌林路68弄1-8号		",,,
骏丰玲珑坊,在售,40000,240(万/套),"嘉定/嘉定新城/崇教路241号；崇教路283号；永盛南路608号		",,,
酩悦都会,在售,33000,273-320(万/套),"奉贤/南桥/红旗港路与金海公路交汇处向东500米		",户型：3室建面 70-90㎡,,
东原璞阅,在售,30000,270-290(万/套),"奉贤/庄行/上海市奉贤区钜庭路66弄		",户型：3室建面 90㎡,,
新未来樾湖,在售,19500,190-220(万/套),"金山/金山/亭林镇九工路2055弄		",户型：3室/4室建面 56-110㎡,,
海滨时代大厦,在售,24000,145(万/套),"浦东/临港新城/临港港辉路376号		",,,
南桥金茂悦,在售,35300,350(万/套),"奉贤/奉贤金汇/金钱公路1558弄		",户型：3室建面 75-99㎡,,
东方华璟园,在售,38000,300(万/套),"奉贤/青村/人民路239号，人民路219号		",,,
君御公馆,待售,34015,320-483(万/套),"浦东/惠南/人民东路近丰海路		",户型：3室/4室建面 93-140㎡,,
繁荣馨苑,在售,90000,400(万/套),"浦东/周浦/繁荣东路130-208号、周东路60-62号		",,,
华发招商依云四季,在售,21000,180-250(万/套),"金山/金山/枫兰路1069号		",户型：3室/4室建面 90-125㎡,,
龙信御澜天樾,在售,22000,162-280(万/套),"金山/金山/金山区枫泾镇泾荷路 829 弄		",户型：2室/3室/4室建面 75-138㎡,,
恒大帝景生活广场,在售,29000,220(万/套),"松江/松江新城/松江区茸树路615弄、茸树路616弄		",,,
宏兆锦庭,在售,58000,300(万/套),"浦东/临港新城/水芸路303弄		",,,
正荣御首府,在售,17000,345-396(万/套),"金山/金山/金山卫镇龙皓路2055弄		",户型：4室建面 192-220㎡,,
碧海现代苑,在售,48000,238(万/套),"浦东/金桥/浙桥路277号3幢8层		",,,
旭辉世纪广场,在售,55000,300(万/套),"普陀/长征/普陀区丹巴路28弄6号楼		",,,
宏港苑,在售,22000,300(万/套),"浦东/老港镇/港怡路18号		",,,
金玥湾,在售,28000,250-282(万/套),"金山/金山/金山区龙堰路和卫零北路交叉口		",户型：3室建面 88-130㎡,,
璟云里,待售,28000,260(万/套),"青浦/朱家角/绿湖路360弄（绿舟路口）		",,,
133世界广场,在售,30000,324(万/套),"杨浦/中原/世界路133号		",,,
融创西环中心,在售,70000,300(万/套),"嘉定/南翔/听雪园路77弄，古猗园路1399弄		",,,
海滨时代大厦,在售,50000,200(万/套),"浦东/临港新城/芦硕路368弄		",,,
绿地领海,在售,17000,88(万/套),"宝山/上大/城银路555弄, 市台路388号, 市台路408号, 市台路400号		",,,
卓越世纪中心,在售,25000,300(万/套),"青浦/盈浦/上海市青浦区清河湾路1121弄		",,,
百金汉青年汇,在售,30000,300(万/套),"嘉定/嘉定新城/阿克苏路925弄		",,,
益智之家,在售,35000,205(万/套),"浦东/周浦/周泰路21弄5号		",,,
禹洲天境璞悦,待售,33800,300-440(万/套),"奉贤/奉贤金汇/奉贤区大叶公路与金碧路交叉口西150米		",户型：3室/4室建面 75-128㎡,,
世华国际广场,在售,40000,250(万/套),"宝山/杨行/水产路2659号		",,,
金海壹品,待售,40000,330-400(万/套),"奉贤/南桥/光昊路567弄1号		",户型：3室建面 83-131㎡,,
国贸天悦,在售,68000,376(万/套),"松江/佘山/松江区佘山镇石头浜路与马尾山路交叉口		",,,
电建地产·泷悦蓝湾,待售,24500,240-300(万/套),"奉贤/海湾/上海市奉贤区江山路6819弄		",户型：3室建面 98-120㎡,,
太平洋中环广场,在售,80000,200(万/套),"浦东/御桥/御秀路御衡路交叉口		",,,
星月国际商务广场,在售,35000,300(万/套),"宝山/淞宝/淞宝路155弄		",,,
尚云里,待售,43474,390-520(万/套),"松江/洞泾/蔡家浜东路77弄148号		",户型：3室/4室建面 89-115㎡,,
佩玛山丘,在售,88000,370-730(万/套),"浦东/曹路/民雪路108弄		",户型：1室/2室建面 41-82㎡,,
万达未来城,待售,28000,213-308(万/套),"浦东/泥城镇/鸿音路万达未来城		",,,
阳光城未来悦,待售,35800,375(万/套),"奉贤/西渡/上海市奉贤区肖南路与吴塘路交汇处		",,,
中骏璟尚,在售,37000,281-425(万/套),"嘉定/安亭/逸亭路33弄		",户型：2室/3室建面 76-115㎡,,
崇恒新天地,在售,30000,130(万/套),"嘉定/徐行/汇源路333号		",,,
佘山樾里,在售,60000,350(万/套),"松江/泗泾/松江区洞泾镇塘砖路1550弄1-4号		",,,
佳兆业·未来城,在售,44000,339-435(万/套),"青浦/夏阳/青浦区华浦路399弄		",户型：2室/3室建面 77-99㎡,,
三迪曼哈顿,在售,55000,280(万/套),"松江/松江大学城/上海市松江区广富林路599弄三迪曼哈顿N5地块5号楼		",,,
太茂风情街,在售,50000,250(万/套),"嘉定/南翔/芳林路333弄		",,,
新华御府,在售,22000,180-205(万/套),"金山/金山/德贤路268号		",户型：3室建面 80-90㎡,,
德信交投·隐秀云庐,在售,45028,400(万/套),"闵行/马桥/闵行区曙光路1500号		",户型：3室建面 90㎡,,
奉发宝龙广场,在售,24900,230(万/套),"奉贤/四团/奉贤区四团镇港佳路299号		",户型：3室建面 73-89㎡,,
奥园金地·格林云尚,在售,36000,248-337(万/套),"嘉定/安亭/上海市嘉定区彤文路198弄		",,,
新华御府,在售,28000,400(万/套),"金山/金山/德贤路与康和路交汇处		",户型：4室建面 118-144㎡,,
大名城·映云间,在售,44000,390-435(万/套),"松江/松江老城/松江区辰塔路与永隆路交汇处		",户型：3室建面 77-123㎡,,
大名城映晖,待售,32022,365(万/套),"浦东/临港新城/海基一路166弄		",户型：3室/4室建面 95-121㎡,,
大名城映园,待售,22976,216-300(万/套),"奉贤/海湾/奉贤区正旭路399弄		",户型：3室/4室建面 94-129㎡,,
枫溪别院,在售,27000,300(万/套),"金山/金山/泾波路219号		",,,
虹桥领御,在售,30000,140(万/套),"嘉定/江桥/张掖路333号		",,,
英伦风尚,在售,60000,300(万/套),"松江/九亭/亭知路707号		",,,
红太阳商业广场,在售,60000,400(万/套),"宝山/张庙/通河路533弄1号		",,,
远洋财富中心,在售,50000,240(万/套),"浦东/高行/台中南路68号		",,,
上善水樾,待售,42000,320(万/套),"青浦/盈浦/上海市青浦区城中北路876号		",户型：2室/3室建面 74-88㎡,,
复地湖畔和光,待售,20688,170(万/套),"金山/金山/金山区志诚路585弄		",户型：2室/3室/4室建面 75-136㎡,,
水尚华庭,在售,31900,280-430(万/套),"金山/金山/金山区清泉路185路		",户型：3室/4室建面 90-135㎡,,
华寿商业广场,在售,45000,100(万/套),"青浦/华新/华新镇华志路559弄		",,,
V格时代广场,在售,50000,310(万/套),"嘉定/丰庄/定边路35号		",,,
海玥瀜庭,在售,29980,290-371(万/套),"金山/金山/枫兰路888弄		",户型：2室/3室/4室建面 82-134㎡,,
上坤先番天地,在售,60000,400(万/套),"松江/佘山/松江区洞泾镇塘砖路1230弄，塘砖路，洞照路		",,,
禹洲天境铂悦,待售,34055,320-450(万/套),"奉贤/奉贤金汇/迎横路金雄路路口		",户型：3室/4室建面 99-130㎡,,
清韵雅苑,待售,31974,205-452(万/套),"浦东/临港新城/云鹃路888弄		",户型：1室/2室/3室建面 63-141㎡,,
大名城映玥,待售,32022,237-307(万/套),"浦东/临港新城/海洋六路900弄		",户型：2室/3室建面 74-96㎡,,
绿地公元1860,在售,16000,170(万/套),"宝山/顾村/富长路1080弄1-359号		",,,
宝龙世家,在售,38000,150(万/套),"浦东/临港新城/渔港路333弄		",,,
远洋财富中心（写字楼）,在售,28000,200(万/套),"浦东/高行/台中南路68号		",,,
平高世贸中心,在售,28000,300(万/套),"松江/松江老城/中山中路79弄9号		",,,
一品漫城(五期),在售,58000,400(万/套),"闵行/浦江/芦恒路378弄166-219号, 浦锦路2116弄1-34号		",,,
一品漫城四期,在售,60000,300(万/套),"闵行/浦江/芦恒路378弄, 芦恒路418号		",,,
骏丰嘉峰汇,在售,46000,200(万/套),"嘉定/南翔/槎溪路833弄		",,,
平安新街,在售,50000,300(万/套),"奉贤/四团/海旗路1339弄80号		",,,
云山境,在售,18000,115-155(万/套),"安吉县/安吉县/山川中心学校南100米云山境营销中心		",户型：1室/2室建面 65-97㎡,,
宝龙旭辉城,在售,15000,124-179(万/套),"吴兴区/湖东西区/苕溪东路与圩田路交叉口(万达东门)		",户型：3室/4室建面 89-128㎡,,
保利云上|拾光,,46322,,,,,75㎡
